T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3	T24_1	T24_2	T24_3
ostta01g00560	40.5150610532891	72.6551440948843	75.1726961757892	130.595892767951	131.236619770138	124.455173779251	135.969737173062	116.13031789678	144.06427300667	150.202090108563	143.264053322504	145.860253940818	64.4895562169788	65.9260821852755	87.0128913561318
ostta01g00570	29.340491324508	28.8023813915225	29.5054317712764	11.3619964925355	10.5505947346153	9.32434818949828	16.5528926704766	22.5512662035053	24.6400986686815	40.8770746564097	31.7749227356054	27.3105721479232	72.0661613942328	104.102609570005	101.855516246049
ostta01g00580	20.2639294827479	21.0179287375949	23.9015051832994	18.2149902096037	21.4061015574622	21.5560948273971	16.3806829096597	27.0052301571615	21.6195072066356	11.727578956542	8.80134539040255	11.9540214151852	24.3438775133413	25.7854734458704	27.2427594066129
ostta01g00590	32.9868598933482	36.9151026348352	36.6996253795352	47.4964572373871	47.1197032811921	48.9979725198897	29.0660239752316	30.1007130390067	32.6247869957756	19.074987588492	17.7208290685262	16.5618934143525	20.4607636162062	23.0820340295572	22.5512662035053
ostta01g00600	20.9225342848932	20.9491321826079	19.9818390679039	18.7511492397155	21.3328593086311	26.4041175901002	21.3328593086311	16.346386471873	16.7182409573019	22.0072988895504	22.9376308706865	19.3137210086916	20.0634852078482	21.8924695112988	25.078020329001
ostta01g00610	46.2060519901781	43.4605327997544	47.7360489405021	52.6214672302035	47.4964572373871	54.4173450218784	40.3934418772706	36.0660072072686	46.0195181900384	39.688731233824	39.8414240533263	41.8716220165076	26.8103534817664	28.4892507487319	31.1515039597902
ostta01g00620	167.759077473845	155.142095823539	115.573194907044	214.206031223618	218.022510916791	222.946908778165	284.771483021082	231.17358067931	274.573559834285	190.938483741939	203.725199160465	163.934509678661	58.6743363244886	52.5254680332268	42.8624795363393
ostta01g00630	17.4336068003042	13.0771579588967	9.98306732196895	13.5689991901136	12.5394358701567	13.2608618459017	18.9858699645909	12.7384702628838	11.5870809109457	17.4766760111912	18.8334874463624	15.5466242728969	7.75107778703164	6.59183893125437	7.56784066276377
ostta01g00640	71.1113687966217	65.8865482645738	81.4481728999669	65.5954624663022	55.9138214805148	50.2612720102689	28.3546784639136	14.6325908527026	24.1936385613799	35.8792362825301	40.4724832195633	43.8906536495707	30.0484469116949	26.2356367053739	27.987472686498
ostta01g00650	16.8339095641545	14.4565177727759	13.1677916150999	12.7534148427419	10.6247919918557	11.3962827770891	14.950560765396	15.8795993193415	14.6325908527026	15.1585470397093	15.357991563358	16.2845126733668	24.2630175869554	30.0658203514934	31.7162176280773
ostta01g00660	46.1501229126187	46.402728764151	36.134147653685	42.2711356260905	37.3486386012413	47.5550415369853	19.4504075885598	20.3870632790664	25.8071365061259	35.3675922132581	39.9204115081109	36.6305938969413	49.2132449232504	57.3594718673638	49.4213705256631
ostta01g00670	104.066256884881	107.39011945009	100.439494845035	249.166135642049	236.147767530971	259.865249307874	159.487493921596	132.284054958462	140.223925601121	163.611251320263	151.208341739183	165.092655409231	134.769313322937	125.07749557828	130.510309497341
ostta01g00680	34.2276644224129	34.5591057952143	30.6772074101743	24.4177964442153	24.8021535547678	24.6092348050371	30.2465551987213	23.0700118946388	26.6867714075803	26.6070029381178	29.0230366319476	30.9808736934951	38.5607575041878	34.6142994946944	33.8224721777717
ostta01g00690	35.9624196847996	39.4534479149813	39.990265602467	29.5544597562806	38.7427618916502	41.4577123867263	38.0960494849843	46.0763507301688	44.7808132241953	39.4658553954412	40.4516669659235	47.2598507036694	91.2933800533388	74.1150355168889	76.9271850719884
ostta01g00720	103.907211525891	89.6278501430832	87.6750678548421	64.8131310557288	56.3154304792616	57.0486888247253	71.6759286895701	104.571005598918	96.5002561458018	125.912121257872	129.957103692011	147.624843814155	282.767243610657	338.683896770309	285.983477018929
ostta01g00730	34.327731787322	34.1749050592935	28.7869317322783	31.1354138997911	30.9354006418102	34.7011231286543	28.2563443315962	25.4658298735534	24.4177964442153	28.5435719159044	26.2356367053739	27.0321939920252	41.6934204064553	43.6692492671002	40.1289631634378
ostta01g00740	8.18820368214722	9.28994525860038	8.22523646539873	12.4885088318276	13.3369536658531	14.7455641881195	17.5426864064093	19.5638219168446	18.158244643169	14.9219273801531	14.9740356627341	16.4057724039141	19.635940544237	17.6310408799602	17.5426864064093
ostta01g00750	10.3167548528617	11.6087171886566	10.5277832766084	12.2188392377687	10.3102068999365	13.2915944424692	11.8340764514278	10.7607809604594	9.10712118052783	7.76672597465166	8.52011778555312	8.60160035182628	9.57953177403621	8.24118397984244	8.87216755480162
ostta01g00760	37.8339261219132	33.6220314698047	28.4170337887486	36.4763556080515	34.8208538072312	33.6372259723465	22.1464812249302	18.1268573995661	19.819789044557	18.4276003748952	20.1381342287362	20.9650791820215	30.9225848771473	33.3526767470944	34.313093515128
ostta01g00770	17.2895879948846	17.2895879948846	20.6707020114582	15.8530324377594	16.8477984383235	19.805161411607	10.9453019821539	13.3831020342999	12.9561329672728	18.7668666833969	15.3279907591301	18.3358323328522	17.1694816223472	19.4806543474548	23.8758753552076
