t10C_1	t10C_2	t10C_3	t14C_1	t14C_2	t14C_3	t20C_1	t20C_2	t20C_3	t26C_1	t26C_2	t26C_3
52.844074	56.269104	70.775276	68.14431	64.894402	58.881172	64.876328	66.159584	64.173264	83.606171	80.18763	66.69912
70.258522	65.259399	64.400787	35.483948	37.275608	37.346924	54.072498	56.531231	48.114372	57.982033	59.129154	58.133507
57.695877	57.468243	51.577824	28.593288	30.649271	31.7556	56.438427	59.441799	54.990841	58.29007	64.337776	64.731743
33.028709	37.214165	31.655628	55.931179	48.039562	48.821167	75.04129	55.24374	56.9739	59.158966	60.574966	50.7714
39.890335	38.135033	35.280674	28.185179	28.502388	23.705503	35.475784	32.763481	26.13386	34.632305	36.65913	36.285767
69.802444	57.52142	64.866455	42.291229	39.276291	42.550175	73.282211	63.752804	59.312565	77.948936	79.111198	77.611847
62.51881	51.271202	48.003727	42.681152	40.458786	39.49276	48.267979	49.714783	46.054905	42.990162	46.187313	46.006294
60.009918	58.541382	69.398575	58.251453	70.932808	63.64439	71.921707	76.25666	76.062225	100.468994	88.864227	89.718201
145.918091	148.560394	154.200165	81.434959	84.941803	91.644669	74.227173	90.515244	88.258316	65.233078	64.598854	68.715256
29.34193	27.848577	27.589895	17.840277	18.436729	16.323933	26.278898	30.106344	31.527096	30.342255	28.744503	31.875448
1190.805664	998.183228	942.776428	762.009155	702.352844	671.257568	661.736755	706.499878	729.928101	556.010803	560.167603	554.280762
133.971069	144.674591	154.727982	119.179802	111.250648	119.432487	140.660751	131.500488	153.810593	102.541817	104.698479	89.869026
24.335459	21.048378	23.426798	20.60597	24.030865	29.793932	23.878651	24.751448	33.151714	38.618546	33.993721	33.421219
31.9154	29.663578	32.294456	22.342453	19.427162	19.276842	22.504316	21.806911	19.895956	17.01255	16.637922	15.71353
209.753296	188.675552	174.095551	126.523163	129.564926	121.12838	208.666702	172.804443	164.574158	141.779114	136.474899	148.866226
431.522186	431.494263	418.949615	318.962189	302.652496	313.016571	585.566345	545.921082	429.162048	449.047272	431.259338	467.853973
