baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ostta03g02020	415.917479034098	0.289338908849023	0.123290419018701	2.3468077337391	0.0189350227743951	0.0332610622376722
ostta07g01710	421.198066254022	0.631767035500315	0.119474287830703	5.2878912021266	1.23734533017083e-07	5.16163240023596e-07
ostta03g00870	11139.3145342945	-1.2852278851286	0.13743781000316	-9.35134141834077	8.65430654718897e-21	1.54968704153403e-19
ostta14g00390	504.841954416618	0.253051849383096	0.110498626317734	2.29009045465828	0.0220160735967317	0.0381399611314087
ostta20g00070	1158.45404066261	-0.226685087249034	0.113950570566987	-1.98932823347098	0.0466649853054254	0.0745084265376626
ostta04g00710	253.074491141861	-0.185392721105539	0.161529398330486	-1.14773362014405	0.251078547608312	0.326423407781188
ostta09g01730	30.051614799923	-0.661577968745459	0.456954192643447	-1.44779931861064	0.147673183400378	0.206338610315497
ostta13g01290	309.276119940288	0.231826053246431	0.131854587066366	1.7581948296554	0.0787143646803	0.118218085618228
ostta13g01740	718.324083037003	-0.0205325043360711	0.0939291369326088	-0.218595688266598	0.826965011843295	0.862528558895892
ostta12g00230	2433.31712831404	-0.312535464731433	0.144906546293894	-2.15680707825001	0.0310206993847396	0.0516494981717672
ostta03g03990	1.45877150310705	-1.92525675736289	1.84169825425578	-1.04537035473321	0.295851832608335	0.374644983628199
ostta12g00580	999.150846202786	0.26429859593371	0.110516299687174	2.39148973211942	0.0167801533174152	0.0298522770117586
ostta03g04970	977.623890806256	-0.0948573364466398	0.132907192033655	-0.713711086625167	0.475405849481492	0.556684739033569
ostta12g02340	372.498720653706	-1.17974758896433	0.173679093686439	-6.7926862348456	1.10064591204746e-11	7.76021183986358e-11
ostta12g01180	103.076923636817	0.338080386011005	0.191634615453484	1.76419268100897	0.0776995445622038	0.116877195196218
ostta04g02710	1938.60201080804	0.456635836479131	0.115786363382558	3.94377906982369	8.02075551383158e-05	0.000223775283065181
ostta10g00760	421.138451033619	0.160370941412818	0.15821638748904	1.01361776714772	0.310765176431632	0.390443329864267
ostta05g01320	1483.73496451243	-0.165543057834223	0.0860029610651984	-1.92485300254634	0.0542477509258255	0.0853180305962501
ostta08g00550	480.933917309614	-0.512208168381877	0.0992629891516413	-5.16011227104385	2.46801793141403e-07	9.93429066510355e-07
ostta05g01850	718.763689130362	-0.441182806484975	0.114580986613561	-3.8504015327859	0.000117924333985429	0.000320145977918644
ostta17g01940	1012.05902015827	-0.000814116571817548	0.108693431662431	-0.00749002547224702	0.994023880192926	0.995582725796992
ostta03g05620	965.474755061948	0.216642250464978	0.0838667096746629	2.5831733628919	0.00978961171454218	0.0184433589430313
ostta13g01125	1158.06434329893	-0.0575838316086691	0.0845134427938436	-0.681357068237478	0.495645581163107	0.575462465389192
ostta01g04980	971.082212958171	-0.145643223613502	0.0822192636627744	-1.77140024278086	0.0764941682591787	0.115199706334908
ostta13g01120	4010.40353612693	-0.381968534616117	0.0850894744796898	-4.48902213760046	7.15508622448006e-06	2.34244258113692e-05
ostta12g00050	962.949087137725	-0.699460144953496	0.147722489164496	-4.73496045801538	2.19097810968362e-06	7.72030171614494e-06
ostta02g04560	9292.7383832943	0.941505249506723	0.11216258366336	8.3941116436165	4.69429931296207e-17	5.83097405746213e-16
ostta07g03210	384.344418752804	-1.72807771845349	0.131406875043628	-13.1505883377849	1.68855450612691e-39	9.95467825765897e-38
ostta10g02610	979.74505197764	0.229362091045435	0.0849295542048705	2.70061574198493	0.00692112505443804	0.0135487873351758
ostta17g00090	522.941079600665	1.23342410552895	0.134793271684349	9.15048718764921	5.6677360158501e-20	9.30139803543365e-19
ostta07g03740	656.726703691155	-0.0837355522433706	0.120430889643639	-0.695299623636	0.486867550083073	0.567455676911922
ostta06g01200	300.5358979706	0.00826472760029902	0.143806672036699	0.0574710997984146	0.954169927066038	0.964616583700582
ostta10g00100	1045.45408766254	0.172848500824333	0.144887860087466	1.19298125267353	0.232876715307575	0.305663152272179
ostta05g04320	552.538729496301	0.165244062756285	0.0921558480853641	1.79309361466913	0.072957956480623	0.110700807457433
ostta03g03370	2315.41645602089	0.377612444921121	0.173804965348264	2.17262173243713	0.0298087988464933	0.0498265287588931
ostta01g03450	6336.33871431587	0.834679406519385	0.0827470094216019	10.0871247475136	6.29874703707287e-24	1.42399992012173e-22
ostta09g02550	5997.37851028182	0.863558545747195	0.131732707785839	6.55538446192955	5.54987046562233e-11	3.60459383462114e-10
ostta01g03180	507.604533202983	0.43298777885269	0.126614781704066	3.41972535137883	0.000626843886206535	0.00149428663884506
ostta14g01370	417.299672785326	0.160585673742991	0.104428056949414	1.53776368568057	0.124106405672965	0.177288255932452
ostta16g01510	713.615980500749	0.903215790242031	0.161556346886035	5.59071684679263	2.2613408217404e-08	1.05355112813486e-07
ostta02g03930	1752.17482874048	-0.901349015478996	0.0874961056870263	-10.3015900925136	6.93060943276702e-25	1.67558961175793e-23
ostta02g03280	1178.36056546246	-0.153045665647477	0.0826346409731357	-1.8520763670678	0.0640148575893705	0.0983905446993273
ostta11g01460	1567.84053328272	-0.143260204623127	0.0944558217611264	-1.5166900456959	0.129344958707469	0.183778228315544
ostta11g02270	396.29504718778	0.122837683380978	0.112213673322419	1.09467660886596	0.273658339822696	0.350721992709221
ostta01g03980	5.00682390723393	-0.246473426822666	0.892290103103871	-0.276225664686067	0.782374746214423	0.825911853304042
ostta12g02570	1116.67857490736	-0.112300643239509	0.0963693907918998	-1.16531444597394	0.243891733727679	0.318242632231786
ostta07g04690	663.622442996234	-0.0960364996901325	0.0978403896486181	-0.981562931576989	0.326315216812204	0.406514925495568
ostta14g01110	968.686317662485	0.156409133319674	0.112791724490702	1.38670752686797	0.165530964504735	0.22845707236178
ostta03g01830	5.69719003185037	-2.2196505777535	0.923874250545956	-2.40254620847136	0.0162813774281782	0.0290728044290676
ostta12g01980	146.467575183403	0.0409863876998752	0.196155514486123	0.208948434650175	0.834488493183852	0.869665462572891
ostta13g00650	1047.03950531226	0.293424672964666	0.0936905377652212	3.13184959723423	0.00173708838159061	0.0038102591174901
ostta14g02130	1103.03032259507	0.461499238546181	0.0919357883124952	5.0197996560112	5.17253979847043e-07	1.99307918629851e-06
ostta13g03070	783.766565269417	0.00329824498382189	0.0941044666281764	0.0350487612543818	0.972040858878179	0.977898737065282
ostta01g01580	415.880251396027	0.207217369797667	0.113802197829696	1.82085560515945	0.0686288091488124	0.104879599863709
ostta17g02140	363.124100094333	0.569663044839684	0.127851113550986	4.45567526959793	8.36295389001e-06	2.70551619303658e-05
ostta09g02140	679.428119021239	0.221807950709804	0.105257753452734	2.10728372432352	0.0350929932978528	0.0576286052356425
ostta03g03740	307.337879065187	0.113274292908346	0.145723436963836	0.777323780363875	0.436967768360862	0.519454161116434
ostta09g02145	341.498541652096	0.0817779352621158	0.121996538718962	0.67032996280742	0.502647470641419	0.581126899230024
ostta02g02880	941.27085985091	0.201100700019948	0.107862514223244	1.86441695215567	0.0622631740985159	0.0960323941016353
ostta12g02750	1503.81427387788	0.121963337662189	0.164753244173988	0.740278822876407	0.459130828038787	0.541100825171346
ostta17g00310	19548.6224383771	0.257437035919344	0.0767716825894856	3.35328114789296	0.000798595415914214	0.00186314620017246
ostta05g00530	817.04337434703	0.548607999149972	0.122902431423389	4.46376847712687	8.05305803312532e-06	2.61187629140383e-05
ostta08g03110	89.3775357615452	0.580693372375107	0.214386258399115	2.70863149863856	0.0067561332908314	0.0132596685124025
ostta01g00180	491.830678236986	0.181491971929165	0.116528858398397	1.55748519657394	0.119355332545358	0.171267415957241
ostta04g01120	2520.83963524337	-0.159062679685258	0.0940320322111252	-1.69157973027875	0.0907261339654491	0.13444027275932
ostta06g03830	845.492961914163	1.62271710997386	0.172034620436968	9.43250321273799	4.00416777593417e-21	7.46665251454003e-20
ostta06g03520	9.99736482747132	-1.3178099430839	0.641904389764625	-2.05296920241832	0.0400755645143257	0.0649205509274556
ostta05g02000	1264.97291190259	-0.0848924165141437	0.0929457025179598	-0.913354939651352	0.361055896267402	0.443082211676229
ostta08g02570	1580.68082671567	0.455572874276587	0.133527727605818	3.41182226676894	0.000645301730970308	0.00153161736331881
ostta05g02550	1511.9873354152	-0.513812624163978	0.0930968194246386	-5.51912114011486	3.40699276459612e-08	1.53866779893133e-07
ostta18g00630	1588.59317666759	0.167603969707864	0.155980722432949	1.07451720375197	0.282590938369831	0.360482182367908
ostta15g01300	1357.15999616083	-0.1471857240352	0.115900482710878	-1.2699319329184	0.204108877214721	0.273668725502733
ostta15g01650	353.880003002366	-0.420747147628289	0.133064258764777	-3.16198467968818	0.0015669780813531	0.0034688965960399
ostta01g05110	336.79310808974	-0.387728606266651	0.144642268160778	-2.68060374879954	0.00734894798162593	0.0142805114937072
ostta11g00730	478.135121372737	-0.217608079726814	0.142697940160762	-1.52495599783472	0.127270073191282	0.181300713928993
ostta15g00650	3940.54435144929	0.219575807942106	0.0883042271706524	2.48658320193172	0.0128976406511601	0.0236533902729101
ostta02g01860	1534.31639362019	-0.000745202003435285	0.108564616879766	-0.00686413331390086	0.994523257012914	0.995952729876777
ostta01g00980	3723.32669384071	0.303135184967795	0.0912837935659582	3.32079959789096	0.000897599633277553	0.00208145343099521
ostta01g00760	599.665969055967	-0.65163808215021	0.119548496377752	-5.45082624955106	5.01363357115132e-08	2.20197637187987e-07
ostta03g02560	941.51237901536	0.735871360155477	0.0972899221562094	7.56369564130144	3.91775833910302e-14	3.720656742365e-13
ostta06g03780	2769.00331734385	-0.0828723911857777	0.0684188759826077	-1.2112504041552	0.22579945033072	0.29795574850803
ostta01g04600	5867.57543645941	0.159158349766078	0.0913754044460366	1.74180733569362	0.0815421626646054	0.121986948011231
ostta08g02790	440.624456054684	-0.00540861976866017	0.117882831863341	-0.0458813186209361	0.963404844075688	0.971262131675359
ostta13g02650	538.846687792983	0.51897596359378	0.118330616191238	4.38581307440373	1.15553324049232e-05	3.65045620574324e-05
ostta03g00500	1026.21837125138	-0.143621646627943	0.111801704806318	-1.28461052429164	0.198928419142845	0.267894465702119
ostta14g00400	1266.0338814001	-0.192502480736501	0.126974702627322	-1.5160695536457	0.129501765999543	0.183932827023813
